epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.919,1.89927,3.77673,1.71378,0.56521,0.39858,0.42237,0.20212,2.01399,2.94605,1.75581,0.00332692,0.00332692,0.00332692
2,301.244,1.797,2.77244,1.60857,0.62787,0.42575,0.44697,0.2137,2.03221,2.58373,1.86017,0.00664707,0.00664707,0.00664707
3,438.1,1.87419,2.48245,1.67476,0.40482,0.33076,0.24463,0.09342,2.30086,2.96912,2.06839,0.00995402,0.00995402,0.00995402
4,574.298,1.93304,2.34144,1.73927,0.49084,0.37939,0.36391,0.17212,2.11857,2.35004,1.9028,0.0099406,0.0099406,0.0099406
5,709.529,1.8513,2.13107,1.6911,0.56318,0.47145,0.45656,0.21223,2.0427,2.22744,1.80426,0.0099208,0.0099208,0.0099208
6,847.117,1.8028,2.00118,1.66198,0.68029,0.57119,0.58396,0.29776,1.83057,1.9654,1.66774,0.009901,0.009901,0.009901
7,983.186,1.75165,1.88175,1.6336,0.67404,0.55951,0.59437,0.2898,1.87336,1.77746,1.70903,0.0098812,0.0098812,0.0098812
8,1120.37,1.7023,1.80268,1.5962,0.73317,0.60104,0.64194,0.33841,1.77707,1.6674,1.63605,0.0098614,0.0098614,0.0098614
9,1254.96,1.65717,1.72539,1.55974,0.75265,0.56522,0.6331,0.33677,1.84739,1.78402,1.68856,0.0098416,0.0098416,0.0098416
10,1391.59,1.6485,1.67785,1.5507,0.81756,0.58262,0.67078,0.36557,1.71346,1.55939,1.56107,0.0098218,0.0098218,0.0098218
11,1528.44,1.61529,1.61272,1.53331,0.76459,0.59302,0.67552,0.32934,1.82362,1.57394,1.61795,0.009802,0.009802,0.009802
12,1663.56,1.59325,1.58061,1.51726,0.76229,0.62766,0.68879,0.38395,1.66934,1.55843,1.56954,0.0097822,0.0097822,0.0097822
13,1802.84,1.5768,1.5381,1.50292,0.79423,0.62427,0.69122,0.39823,1.64913,1.52456,1.53522,0.0097624,0.0097624,0.0097624
14,1939.37,1.55423,1.50693,1.47971,0.78245,0.63557,0.69616,0.40376,1.6279,1.43325,1.53397,0.0097426,0.0097426,0.0097426
15,2075.38,1.53659,1.46767,1.47262,0.75924,0.63349,0.69289,0.39501,1.60568,1.43959,1.4936,0.0097228,0.0097228,0.0097228
16,2209.53,1.52372,1.43553,1.46043,0.78427,0.64526,0.70477,0.41297,1.58085,1.46678,1.46997,0.009703,0.009703,0.009703
17,2345.44,1.52062,1.41304,1.45878,0.79948,0.66116,0.72162,0.41373,1.56533,1.37505,1.45919,0.0096832,0.0096832,0.0096832
18,2480.48,1.50023,1.37086,1.44406,0.80516,0.65385,0.72108,0.42901,1.54608,1.35704,1.44718,0.0096634,0.0096634,0.0096634
19,2614.9,1.47932,1.35656,1.42198,0.83412,0.67721,0.75276,0.44361,1.55303,1.29475,1.43553,0.0096436,0.0096436,0.0096436
20,2747.28,1.47609,1.33756,1.42845,0.81986,0.66495,0.74168,0.43472,1.55095,1.32137,1.44498,0.0096238,0.0096238,0.0096238
21,2879.8,1.4814,1.33949,1.42889,0.8489,0.64826,0.74089,0.43981,1.5277,1.33208,1.4355,0.009604,0.009604,0.009604
22,3008.68,1.46389,1.32306,1.41892,0.80417,0.65786,0.73355,0.44974,1.51446,1.31207,1.40674,0.0095842,0.0095842,0.0095842
23,3136.83,1.44193,1.29602,1.39866,0.84382,0.65792,0.74791,0.45343,1.54984,1.29136,1.44117,0.0095644,0.0095644,0.0095644
24,3267.02,1.44256,1.26964,1.39694,0.81981,0.67522,0.75184,0.45965,1.51299,1.30085,1.41725,0.0095446,0.0095446,0.0095446
25,3397.8,1.43823,1.26594,1.39028,0.82114,0.66326,0.74983,0.46354,1.51366,1.27881,1.43157,0.0095248,0.0095248,0.0095248
26,3534.14,1.44065,1.25666,1.40184,0.79884,0.687,0.75886,0.47177,1.48915,1.23392,1.40487,0.009505,0.009505,0.009505
27,3664.1,1.42272,1.23565,1.38709,0.85399,0.64183,0.7448,0.45292,1.5049,1.25344,1.41585,0.0094852,0.0094852,0.0094852
28,3791.84,1.41069,1.2346,1.37958,0.84076,0.67775,0.74911,0.46598,1.51076,1.27118,1.41041,0.0094654,0.0094654,0.0094654
29,3921.76,1.42003,1.24173,1.38455,0.83409,0.68151,0.7695,0.47682,1.46186,1.21804,1.40094,0.0094456,0.0094456,0.0094456
30,4050.25,1.40444,1.19876,1.3753,0.83924,0.67886,0.77185,0.46956,1.49405,1.21221,1.38582,0.0094258,0.0094258,0.0094258
31,4180.39,1.39792,1.21062,1.36218,0.82809,0.69869,0.77803,0.48631,1.45457,1.20256,1.37208,0.009406,0.009406,0.009406
32,4313.4,1.39022,1.17628,1.35427,0.85562,0.67552,0.77394,0.47434,1.46537,1.16918,1.3678,0.0093862,0.0093862,0.0093862
33,4442.54,1.39105,1.17849,1.36066,0.87602,0.68307,0.78555,0.49568,1.44834,1.15637,1.3468,0.0093664,0.0093664,0.0093664
34,4573.3,1.37215,1.1679,1.34725,0.85741,0.68309,0.7647,0.48074,1.46272,1.19483,1.39217,0.0093466,0.0093466,0.0093466
35,4703.23,1.37775,1.15845,1.34424,0.86476,0.69558,0.78441,0.48564,1.46891,1.14475,1.35575,0.0093268,0.0093268,0.0093268
36,4835.97,1.37845,1.16181,1.34842,0.80555,0.70113,0.77694,0.48716,1.46355,1.17375,1.37314,0.009307,0.009307,0.009307
37,4969.63,1.36817,1.1294,1.33577,0.83487,0.7052,0.78243,0.48227,1.49259,1.14071,1.37371,0.0092872,0.0092872,0.0092872
38,5102.89,1.36817,1.13193,1.33882,0.85732,0.70515,0.7915,0.49613,1.4153,1.1487,1.34433,0.0092674,0.0092674,0.0092674
39,5233.96,1.35198,1.12129,1.33498,0.85865,0.69605,0.78678,0.49918,1.44578,1.11792,1.37576,0.0092476,0.0092476,0.0092476
40,5368.63,1.35331,1.12613,1.32671,0.85337,0.69672,0.79223,0.50444,1.43651,1.1153,1.34919,0.0092278,0.0092278,0.0092278
41,5498.6,1.3512,1.10538,1.33122,0.82559,0.71826,0.78893,0.50196,1.43696,1.1332,1.35378,0.009208,0.009208,0.009208
42,5631.55,1.33852,1.08587,1.31923,0.83886,0.70475,0.78704,0.5038,1.42077,1.11218,1.32548,0.0091882,0.0091882,0.0091882
43,5760.94,1.33902,1.09743,1.32542,0.84471,0.72043,0.80028,0.51629,1.39515,1.08516,1.31962,0.0091684,0.0091684,0.0091684
44,5890.24,1.33645,1.088,1.31429,0.85707,0.72285,0.7975,0.50909,1.41872,1.10244,1.33557,0.0091486,0.0091486,0.0091486
